Why	1	6
What	107	179
How	1	19
When	9	42
Where	20	22
Whom	0	0
From	5	7
To	35	45
On	5	7
Under	0	1
Left	0	0
Right	0	0
Near	0	0
NextTo	0	0
MiddleOf	0	0
Opposite	0	0
hasProperty	92	115
hasPredicate	170	209
